jurisdiction,domain,csi,cli,rei
Japan,Criminal,0.552,0.542,0.497
Japan,Labor,0.588,0.518,0.338
Japan,Constitutional,0.568,0.543,0.576
Taiwan,Criminal,0.518,0.582,0.497
Taiwan,Labor,0.584,0.554,0.45
Taiwan,Constitutional,0.551,0.59,0.604
Israel,Criminal,0.576,0.565,0.497
Israel,Labor,0.501,0.537,0.525
Israel,Constitutional,0.557,0.681,0.509
South Africa,Criminal,0.64,0.673,0.421
South Africa,Labor,0.621,0.61,0.5
South Africa,Constitutional,0.561,0.464,0.431
Argentina,Criminal,0.878,0.713,0.232
Argentina,Labor,0.915,0.77,0.318
Argentina,Constitutional,0.795,0.743,0.252
Venezuela,Criminal,0.95,0.777,0.251
Venezuela,Labor,0.95,0.74,0.07
Venezuela,Constitutional,0.935,0.852,0.159
Brazil,Criminal,0.747,0.695,0.187
Brazil,Labor,0.795,0.782,0.184
Brazil,Constitutional,0.652,0.651,0.559
Mexico,Criminal,0.777,0.836,0.43
Mexico,Labor,0.764,0.798,0.371
Mexico,Constitutional,0.672,0.707,0.238
Colombia,Criminal,0.689,0.677,0.19
Colombia,Labor,0.714,0.6,0.339
Colombia,Constitutional,0.674,0.712,0.262
Peru,Criminal,0.704,0.696,0.276
Peru,Labor,0.738,0.806,0.297
Peru,Constitutional,0.654,0.614,0.33
Ecuador,Criminal,0.728,0.624,0.316
Ecuador,Labor,0.785,0.704,0.3
Ecuador,Constitutional,0.687,0.708,0.317
Bolivia,Criminal,0.805,0.74,0.082
Bolivia,Labor,0.791,0.786,0.199
Bolivia,Constitutional,0.759,0.713,0.229
Russia,Criminal,0.803,0.743,0.263
Russia,Labor,0.793,0.829,0.346
Russia,Constitutional,0.73,0.816,0.411
Turkey,Criminal,0.795,0.702,0.164
Turkey,Labor,0.803,0.753,0.278
Turkey,Constitutional,0.707,0.648,0.31
India,Criminal,0.679,0.534,0.428
India,Labor,0.692,0.64,0.422
India,Constitutional,0.732,0.801,0.457
Philippines,Criminal,0.718,0.65,0.195
Philippines,Labor,0.737,0.626,0.388
Philippines,Constitutional,0.713,0.652,0.348
Nigeria,Criminal,0.774,0.7,0.353
Nigeria,Labor,0.844,0.659,0.169
Nigeria,Constitutional,0.801,0.76,0.276
Egypt,Criminal,0.778,0.792,0.309
Egypt,Labor,0.867,0.785,0.187
Egypt,Constitutional,0.788,0.784,0.255
Pakistan,Criminal,0.819,0.731,0.075
Pakistan,Labor,0.882,0.828,0.183
Pakistan,Constitutional,0.85,0.743,0.251
Bangladesh,Criminal,0.864,0.815,0.182
Bangladesh,Labor,0.849,0.762,0.261
Bangladesh,Constitutional,0.822,0.77,0.213
Indonesia,Criminal,0.756,0.782,0.272
Indonesia,Labor,0.725,0.737,0.442
Indonesia,Constitutional,0.678,0.605,0.333
Malaysia,Criminal,0.731,0.731,0.324
Malaysia,Labor,0.724,0.683,0.338
Malaysia,Constitutional,0.672,0.678,0.397
Thailand,Criminal,0.731,0.631,0.48
Thailand,Labor,0.783,0.688,0.275
Thailand,Constitutional,0.644,0.76,0.445
Vietnam,Criminal,0.71,0.632,0.214
Vietnam,Labor,0.791,0.807,0.212
Vietnam,Constitutional,0.69,0.655,0.342
